date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:19:11	162/162	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/arrow_green.png	derpal.com.pl/site_media/images/site/arrow_green.png	(from http://derpal.com.pl/site_media/css/screen.css)
21:19:11	492/492	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/pdf_ikona.png	derpal.com.pl/site_media/images/site/pdf_ikona.png	(from http://derpal.com.pl/site_media/css/screen.css)
21:19:13	212/212	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/back_gradient.png	derpal.com.pl/site_media/images/site/back_gradient.png	(from http://derpal.com.pl/site_media/css/screen.css)
21:19:13	131/131	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/arrow_button-powrot.png	derpal.com.pl/site_media/images/site/arrow_button-powrot.png	(from http://derpal.com.pl/site_media/css/screen.css)
21:19:15	428/428	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/kwadraciki.png	derpal.com.pl/site_media/images/site/kwadraciki.png	(from http://derpal.com.pl/site_media/css/screen.css)
21:19:15	681/681	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/arrows_karuzela-right1.png	derpal.com.pl/site_media/images/site/arrows_karuzela-right1.png	(from http://derpal.com.pl/site_media/css/screen.css)
21:19:17	718/718	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/arrows_karuzela-right.png	derpal.com.pl/site_media/images/site/arrows_karuzela-right.png	(from http://derpal.com.pl/site_media/css/screen.css)
21:19:17	666/666	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/arrows_karuzela-left1.png	derpal.com.pl/site_media/images/site/arrows_karuzela-left1.png	(from http://derpal.com.pl/site_media/css/screen.css)
21:19:19	690/690	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/arrows_karuzela-left.png	derpal.com.pl/site_media/images/site/arrows_karuzela-left.png	(from http://derpal.com.pl/site_media/css/screen.css)
21:19:19	134/134	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/menu_kategoria_4.png	derpal.com.pl/site_media/images/site/menu_kategoria_4.png	(from http://derpal.com.pl/site_media/css/screen.css)
